Module	Section	Feedback/Query
Admin Home	Decision Hierarchy	Splitting the home into a prominent "needs your decision" zone and a collapsed department-health summary below is the right instinct. Worth deciding a secondary sort for the case where two urgent items land on the same day with equal weight — an eligibility lock deadline and a certification deadline both due today, say — so the chair isn't left guessing which one actually needs attention first.
Admin Analyst	Becoming the Home's Resting State	When nothing needs a decision, the Analyst's query box should become the actual hero of the home page rather than staying tucked in the sidebar. Worth checking the transition case specifically: if a new at-risk flag appears while that calm "ask anything" state is showing, does the page correctly snap back into decision mode on its own, or does the chair have to refresh before noticing something changed underneath them.
Admin Analyst	Question Coverage	Only six of the ten named question types even show up as suggested chips today — department summary, worst attendance, lowest marks, at-risk, weakest course, teacher load. Eligibility-barred, certification-pending, top-marks, and term-compare need to be tried by typing them directly, and ideally get surfaced as chips too. Also worth defining behavior for a genuinely ambiguous or multi-part question — "who's at risk in CSE110 and how has the pass rate trended" — since it's not obvious today whether it answers one part and silently drops the rest, or handles it gracefully, and a sharp faculty member in the room will absolutely try exactly this kind of question.
Admin Certify	Sorting by What Needs Attention	Sections should sort with anomalies first rather than by section number, with clean sections labeled routine and a batch action to certify all of them at once. The sort needs to weigh more than one flag type though — a section with a clean pass rate but a real attendance anomaly shouldn't get buried under "routine" just because the headline number looks fine.
Admin Governance	A Visible Audit Trail	The product states repeatedly that every decision is logged, but there's no screen anywhere that actually shows that log to anyone — a registrar evaluating this for governance will ask where it lives. Worth deciding who gets to see it (chair only, or does a coordinator or an external auditor need read access too) and whether a return decision captures the reason, since "returned, no reason given" isn't useful to anyone looking back at it months later.
Admin Program	Policy Editing	The "This term" tab — staffing, capacity, publishing — is real and working; Curriculum and Policy haven't been individually checked yet and should be before this is shown live. The specific case worth testing on Policy: if the 70% attendance threshold gets edited mid-term, does that retroactively re-run eligibility for students already evaluated under the old number, or only apply going forward — that's exactly the kind of policy-edit question that needs a tested, explicit answer rather than an assumed one.
Coordinator Home	Leading With Completeness	The home should lead with a records-completeness checklist rather than with handoffs to the chair, since "is the data clean" is the actual question a coordinator opens the page asking. Worth designing the very first day of a term separately — a brand-new department being onboarded will show a checklist full of zeros, and that needs to read as "just getting started" rather than "something's broken."
Coordinator Import	Preview Before Committing	Showing a preview after a file drop — how many will be added, how many already exist, how many have errors — before anything commits is the right call. The case worth handling explicitly is a near-duplicate row: same student ID but a different section. Treating that as a silent skip could quietly drop a legitimate section change instead of surfacing it as something that needs a decision.
Coordinator Directory	Bulk Actions	The bulk-select and bulk-action bar, plus the add/edit form's uniqueness validation, haven't been exercised yet. Worth testing what happens when a bulk selection accidentally spans both faculty and student rows, or includes a record someone else has open for editing at the same moment — a bulk delete or bulk edit needs to be safe against that kind of overlap, not just fast.
Shell Search	Command-K	Right now neither the keyboard shortcut nor a click on the search bar opens anything — it's the most visible example in the product of a control that looks interactive and does nothing, and it should be the very first thing fixed. Once it works, worth deciding what happens when a search matches nothing in the current role's world but would match something in a role the same person could switch to — a student searching a faculty member's name, for instance — since a graceful "did you mean to switch views" is a much better outcome than a flat no-results state.
Shell Theme	It Exists, It's Just Hidden	A working theme control — auto, light, dark — already exists on the settings page; it's just not in the header where anyone looking for it would check first. The fix is moving it, not building it. Worth making sure the header control and the settings control read and write the same single source of truth, so a student can't end up with the two disagreeing about which theme is actually active.
Shell Stacking and Modals	A Pattern Bug, Not Three Bugs	Three z-index and modal-layering issues have been found and fixed one at a time, but nobody's swept every modal in the app for the same class of bug — the syllabus modal, both faculty pickers, import, notifications, the account menu, search. Worth specifically reserving a z-index tier for the case of a modal opened from inside another modal, like the faculty picker launched from within the import flow, since that's exactly the kind of moment this bug tends to resurface in.
Shell Determinism	The Pinned Clock Holding Everywhere	The whole demo's believability rests on the world being pinned to one fixed moment with no randomness anywhere in the render path — that needs to be checked deliberately, not assumed. Worth testing specifically from a browser in a different timezone than the server, since that's the kind of mismatch that produces a silent hydration difference between what the server rendered and what the browser expects, without ever throwing an obvious error.
Shell Onboarding	Toward Real Sign-In	For an actual deployment, the role-picker-plus-email flow should collapse into a single BRACU SSO login that already knows who the person is. Worth deciding now how a person who genuinely holds two roles gets handled — a faculty member who also coordinates part-time, or a TA who's technically still a student — because the current model assumes one person maps to exactly one role, and that assumption won't survive contact with a real university.
Shell Accessibility	Beyond Contrast	Nothing in the product today addresses keyboard navigation, screen-reader labeling, or contrast ratios, despite the "registrar-grade" bar the product holds itself to — a university's IT or accessibility office will ask about this before signing anything. Worth specifically checking the Momentum rings and the grade-distribution charts, since both currently communicate meaning through color alone; a colorblind student needs a pattern or a label there, not just a different shade of green or red.
Integrations	Real Video Infrastructure	Live class and Record are fully designed on the front end but have no real video service behind them — Agora, LiveKit, or a similar provider needs to be wired in before any real class can run on this. Worth planning the outage case from the start: if the video backend itself goes down mid-class, does the experience degrade gracefully to audio or a promised recorded catch-up, or does the class simply fail with no explanation to the students still sitting in it.
Integrations	A Real LLM and Retrieval Pipeline	Tutor, Copilot, and Analyst are currently scripted rather than genuinely grounded, and connecting a real model with retrieval over actual uploaded course material — plus the usage-cap governance the product already promises — is the core of turning this into a real product rather than a convincing demo. The corner case that will actually surface in a pilot: a course with thin uploaded material will make the Tutor look noticeably worse than a well-resourced one, for reasons that have nothing to do with model quality. Worth setting a minimum-content bar before Tutor is turned on for a given course, so a sparse course doesn't produce embarrassing "not covered" answers on material a student reasonably expects it to know.
Integrations	BRACU SSO and the Student Information System	Real identity and a real roster and grade-posting pipeline are the actual gating item before any pilot can run, well ahead of any UI work. Worth deciding the reconciliation process up front for a SIS record with a name or ID typo, or a late add/drop that hasn't synced yet — a mismatch there breaks both the "find yourself" moment on the front end and the eligibility and certification pipeline underneath it.
Integrations	A WhatsApp or SMS Channel	For deadlines and live-class alerts, a WhatsApp Business API or a local SMS gateway would reach students far more reliably than an in-app bell ever will, matching how they actually expect to be reminded of things. At more than six thousand students, worth putting the same kind of usage-cap governance around message volume that already exists for AI spend — an unbounded messaging bill is exactly the kind of surprise the product goes out of its way to avoid on the AI side, and it shouldn't reappear here by oversight.
Integrations	Calendar Sync	Letting a student push their schedule and deadlines into Google Calendar or Outlook with one click is a small, cheap addition with outsized daily-use value. Worth handling the reschedule case properly — if a class moves rooms or changes teacher mid-term, the synced calendar entry needs to update automatically, or a student ends up trusting a calendar event that's quietly gone stale.
Integrations	Plagiarism Detection	Wiring in a plagiarism-detection tool for assignment submissions is a standard expectation for an academic platform at this point. It needs a clear policy for two specific cases though: group submissions, where one member's overlap shouldn't automatically flag the whole team, and legitimately shared starter code that a teacher hands out — false positives against provided boilerplate would erode trust in the check very quickly.
Integrations	Shikho's Existing Content Library	Shikho already has a K-12 and exam-prep content library and real brand trust across Bangladesh, and it's worth checking whether relevant foundational material can cross into Campus rather than building everything from scratch for BRAC. The thing that would undermine this if done carelessly: BRAC's CSE curriculum has its own sequencing and terminology, so any imported content needs to be mapped precisely to the right course and topic rather than bulk-dropped in — a generic-feeling import would work directly against the "built on your reality" pitch this whole product is making.
Integrations	Usage Instrumentation	There's currently no product analytics in place at all, and without it there will be no way to show BRAC, at renewal time, that anyone actually used what they paid for. Worth designing the event tracking with the same guardrail already applied to Momentum in mind — instrumentation is exactly the kind of infrastructure that could accidentally expose a teacher's private activity data to an aggregate dashboard if it isn't scoped deliberately from the start.
Integrations	Migrating From What BRACU Uses Today	Neither the product nor the underlying document says what happens to whatever system BRACU currently runs on — existing content, rosters, historical grades — and that's usually the first practical question a real buyer asks once a demo has already landed well. Worth deciding specifically whether historical grade records migrate as a read-only archive or as live editable data, since those two paths carry very different integrity and audit requirements, and getting this wrong risks an actual transcript discrepancy for a real student down the line.
